,param,value,run,t_max,v_max,t_int,v_int
0,b,1,1,972,0.024714972614126918,6540.0,0.007032673586633731
1,b,1,2,357,0.0241133846790329,9034.0,0.0043321210178142175
2,b,1,3,357,0.025229558904440896,3657.0,0.007076305081160861
3,b,1,4,242,0.02398242963443531,4439.0,0.005575341456796945
4,b,1,5,275,0.02390134921303666,14666.0,0.003911487821678161
5,b,1,6,381,0.02426873733736068,2734.0,0.010410566422022429
6,b,1,7,324,0.025511304070985563,3657.0,0.005608062798998503
7,b,1,8,346,0.030164105482924693,11698.0,0.003444144162309648
8,b,1,9,618,0.02569045830894812,7939.0,0.0044107755183602215
9,b,1,10,543,0.027349641771306832,5051.0,0.004466955805404016
10,b,1,11,543,0.0293267374937356,4161.0,0.007765436906481238
11,b,1,12,357,0.020281588764408557,8747.0,0.004894779924314641
12,b,1,13,639,0.029577300711307156,9034.0,0.0047429863881953685
13,b,1,14,462,0.02262085734317321,6540.0,0.00473840571373918
14,b,1,15,854,0.021130874890328943,3319.0,0.008955657928728211
15,b,1,16,433,0.02262991726841124,4029.0,0.007341142022379009
16,b,1,17,275,0.022867332463327283,4029.0,0.0091213946807569
17,b,1,18,972,0.024239100908140188,4890.0,0.005767283833100656
18,b,1,19,660,0.02189629160416651,7442.0,0.005988819407490631
19,b,1,20,493,0.02219769737212607,4298.0,0.006143981278091459
20,b,2,1,419,0.023977645638089132,3319.0,0.006193663999704668
21,b,2,2,250,0.022376044411712925,2734.0,0.006092192704035604
22,b,2,3,170,0.022647639178654533,2824.0,0.005871919246533519
23,b,2,4,234,0.031520712233827464,4029.0,0.004635845647416925
24,b,2,5,175,0.028541005259739464,2044.0,0.006003444239404576
25,b,2,6,304,0.02485100151358477,1739.0,0.0068716277055878025
26,b,2,7,462,0.02558457788329926,1739.0,0.005907616067365673
27,b,2,8,250,0.02268961220142529,1684.0,0.010378043228742584
28,b,2,9,267,0.024935472592492403,2481.0,0.007602567842718066
29,b,2,10,181,0.028785587518032063,1739.0,0.007739887926233813
30,b,2,11,187,0.026980882224653332,2403.0,0.005760124140622658
31,b,2,12,509,0.023312980913045237,2734.0,0.007089838673309591
32,b,2,13,275,0.023128012311783845,2916.0,0.0062587140630312454
33,b,2,14,131,0.022661491007657908,1916.0,0.007343509063795217
34,b,2,15,213,0.03065357901508348,3657.0,0.004703433617573527
