gamma,eta,zeta,jsd_phis,jsd_alpha_mphi,entropy_mphi,std_jsd_phis,std_alpha_mphi,pearson_r,pearson_r_p_value,jsd_mphi_psi,entropy_psi,jsd_psi_alpha,jsd_psi_slices,gamma,eta,zeta,reflectance,coherence,synonymy
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.000729968794645814,3.829799511626456e-05,0.11777730181327467,0.2889510746208262,3.239269889609986e-05,0.8693854960459352,2.5411206060255154e-05,0.0012331924746165508,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006838019667646356,3.58380946809945e-05,-0.1740163472572792,0.11563751789960433,7.336186187067996e-05,0.8703186398613098,5.6229305647192966e-05,0.001200147121952191,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0007750528174814045,4.074283139213752e-05,-0.11902842946491253,0.283823081336801,5.211255453385633e-05,0.8692688390136749,2.075553397329344e-05,0.0012231521812121966,1,1,1,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,1,0.001012744316958311,0.00015386143413342881,0.8708921752021096,0.0007304384368245163,3.832886705058577e-05,0.015221534341382126,0.8913631250303684,7.979833946469839e-05,0.869150856240055,3.0296603731549965e-05,0.0012203390491129528,1,1,1,0.9998461385658666,0.9989872556830417,0.8708921752021096
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0010570274884787617,5.59902274694144e-05,-0.054756548192124166,0.6229600454390303,0.000165381355508476,0.8685485370611299,7.80131603019818e-05,0.001228094845588342,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0008860147798917297,4.6682337783137206e-05,0.10994568795473283,0.3224352824214446,0.00018381104202891407,0.8690071651814246,2.107673719065062e-05,0.0013097288880065197,1,1,1,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007294569169639194,3.826597273082125e-05,0.2211023147117152,0.044566443650505716,5.273562265495357e-05,0.868326955248728,2.4973823807616924e-05,0.0011696459964770838,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007703542946846856,4.047907178442741e-05,-0.027098900532947945,0.8078634510831031,3.328464639240636e-05,0.8683994421525242,2.8605663143999042e-05,0.0012220845647985278,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007703542946846785,4.047907178442741e-05,0.048382424939631095,0.6640309591728399,4.348189678271552e-05,0.8681948013650281,2.2565615465985896e-05,0.0012006492565602143,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007312513328597915,3.838717056488086e-05,0.11507831512161705,0.3002208324666664,5.800610348716262e-05,0.8687485440648328,2.5380664334662132e-05,0.0013200208929596523,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006813042785149562,3.563662323962611e-05,-0.18563780561902168,0.09291240678955977,5.255745959642511e-05,0.8686081733573288,4.900471869540013e-05,0.0012233738532521192,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0007315947271500941,3.841460736650008e-05,-0.07228114814717784,0.516095358826846,7.152767583473718e-05,0.8675250113345923,4.976176251858533e-05,0.0013222659978455288,1,1,1,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0008802670211362646,4.641063374592743e-05,-0.13018925277757742,0.2407583930901287,5.2844025564269266e-05,0.869322079813688,3.171006308821944e-05,0.0012992194764617855,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0007294569169638372,3.826597273082125e-05,0.2027075763777284,0.06608051172978185,7.795088146034246e-05,0.8682466722145282,2.6685337755516517e-05,0.0012591161169213877,1,1,1,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007254931826421635,3.8049508978342296e-05,0.03326857182400381,0.7652626672413737,4.912563947101489e-05,0.8689001116557925,3.71223429267431e-05,0.001255671451435678,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0008099476519928293,4.261920999157772e-05,0.10882981707704756,0.32740064770402466,6.440532129659005e-05,0.8690397095447756,3.0237831430746095e-05,0.0012628873889753785,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0009475257821861877,4.997392880935708e-05,0.08510001069156224,0.4443137107324467,6.199089739666874e-05,0.869331885834634,2.704304549405734e-05,0.0012067026631946457,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.001012744316958311,0.00015386143413342881,0.8708921752021096,0.0007718978178158253,4.0559916583209914e-05,0.17021506549053725,0.12393480453820592,4.907946505650074e-05,0.8696122874356672,3.311777901515711e-05,0.0013662987087417605,1,1,1,0.9998461385658666,0.9989872556830417,0.8708921752021096
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0009338651734793307,4.937415901159648e-05,0.10184806382780036,0.3595654067132064,7.273086342340918e-05,0.8707989296868927,5.074691704409773e-05,0.0012865901466035511,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006309625349134152,3.289565187973642e-05,-0.3311325775337254,0.002229911429127544,5.6907350946655555e-05,0.8690585749113353,4.919788447788065e-05,0.001194883356957032,1,1,1,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007755639624068117,4.07761472046613e-05,0.08155063894097729,0.4636095380760174,0.005589251535882411,0.8257569103989558,0.005676477736864527,0.0012467483552155258,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006836468779129211,3.5817181785940555e-05,-0.06905505655029366,0.5350460553475294,0.005765608730918803,0.8250522144130411,0.005852356259669733,0.0012655585026449191,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007308659249192335,3.835859131146637e-05,0.10591043750636812,0.3406202444634852,0.006068559703883203,0.8239825648797818,0.006152461999848757,0.0013073260676283271,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.000630962534913517,3.289565187973642e-05,0.026722639508946815,0.8104810525543149,0.0061830354882737035,0.8235782706308773,0.0062670981827674934,0.0013624061654107502,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006313583145362475,3.295189129715178e-05,0.06528664981266298,0.5576097990823399,0.006000272423620778,0.8241343489830824,0.006095699531717624,0.0012887589014574875,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00042561699923817953,2.1771014042807287e-05,-0.10822560723354276,0.3301094594015937,0.005835637184401055,0.8246669909066893,0.0059419114069041426,0.0012712846479045155,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0006313179188458979,3.2996289103284275e-05,0.10300761714129476,0.35409266933540984,0.005935714337695242,0.8243986412114126,0.006019728797279633,0.0013841511421324164,1,1,1.5,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005720506866940709,2.981852046226389e-05,0.1201847966756842,0.2791375791919098,0.00588207996087986,0.8245540724772327,0.0059805780259440935,0.001281840822963211,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0005724795045554522,2.9816694617208726e-05,0.12183194545810412,0.2725530825459343,0.006004622236861934,0.8251852643592574,0.00582799255797095,0.0013342877767759088,1,1,1.5,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005720506866940103,2.9818520462287378e-05,0.06252554591593756,0.5744254880227591,0.0058134493364230275,0.8249520318104867,0.005905341620857207,0.00132246324216956,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007299687946459133,3.829799511626456e-05,0.0812441775752135,0.4652967941213979,0.006060672747219886,0.8238587106233148,0.006160269924314399,0.0012418373486300933,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006311429574225742,3.291571757053158e-05,-0.029374847459640613,0.7920759221358901,0.005923966094186993,0.8244832474740745,0.0060175967463727,0.001447256797656415,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007755639624067813,4.077614720472671e-05,0.010605884827787048,0.924186552822472,0.006193100909234417,0.8245782329007394,0.006009748732623166,0.0012388069269372323,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0009447338445098578,4.9847319097959636e-05,0.09641686503528328,0.3858869437414921,0.006058551315834659,0.8249454169180043,0.0058735839716046465,0.001312373495198471,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007321557040097897,3.846606329080448e-05,-0.11494661453613934,0.3007780137353297,0.00642407733680761,0.8237576310820702,0.006214963272033192,0.001280556243474542,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006308412640515932,3.3028893051108713e-05,0.1522914759717086,0.16930770917404026,0.0062665259619199,0.8232967850891366,0.006364034759029913,0.0013200035387640188,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005031290286459875,2.6123802446997532e-05,0.19729824218728254,0.07380331767574316,0.006129776538148057,0.8236987335340891,0.006220551528656415,0.001272251105177466,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005069951468977405,2.617158784480892e-05,0.041439982040358696,0.7099148354561723,0.006563282547364935,0.8221283725701559,0.006681090402009815,0.0013680893428504508,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005734440656279592,2.9802546456361396e-05,0.11476622746220982,0.3015422678474635,0.005836943513429116,0.8247806266383767,0.005948612055343361,0.001304936793098378,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,1.5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006312075373418209,3.3008465528625516e-05,-0.052865287028627785,0.6350338585527994,0.006538058528580582,0.8233334794732954,0.006333592127340637,0.0012337221685550584,1,1,1.5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0007726090370486206,4.059868731172048e-05,0.03769743100964807,0.7350981292404482,0.01589006699017981,0.7954038696729986,0.016067728901203004,0.0012711538557862462,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
