,B=1,B=1,B=1,B=1,B=1,B=1,B=5,B=5,B=5,B=5,B=5,B=5,B=10,B=10,B=10,B=10,B=10,B=10,B=15,B=15,B=15,B=15,B=15,B=15,B=20,B=20,B=20,B=20,B=20,B=20,B=25,B=25,B=25,B=25,B=25,B=25,B=30,B=30,B=30,B=30,B=30,B=30
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,10.673333333333334,0.5353711070110357,1.0,0.0,0.05333333333333334,0.2246973272847036,10.86,0.3656956840507318,2.536666666666666,0.5052941937349203,0.03,0.17058722109231944,10.896666666666668,0.315154283204628,3.793333333333333,0.7284382075524486,0.01,0.09949874371066207,10.903333333333334,0.3568223959089764,4.79,0.9482791431500172,0.016666666666666666,0.12801909579781032,10.936666666666667,0.269546944993921,5.446666666666666,1.0895666824731558,0.016666666666666666,0.1280190957978103,10.95,0.2327373340628153,6.173333333333333,1.190219400876252,0.01,0.09949874371066206,10.966666666666667,0.17950549357115045,6.623333333333332,1.1553306405046524,0.01,0.09949874371066213
20,19.866666666666667,0.9775252199076779,1.0,0.0,0.09333333333333334,0.2908989897236192,20.433333333333334,0.7781745019952501,2.776666666666667,0.4244080845391884,0.04666666666666667,0.2109238935940851,20.62333333333333,0.6122000399288542,4.386666666666667,0.6302027892318125,0.04666666666666667,0.2109238935940851,20.7,0.5446711546122742,5.8966666666666665,0.8637064830652189,0.03333333333333333,0.1795054935711505,20.82,0.4700354596552629,7.086666666666668,1.0704308582165512,0.01,0.09949874371066207,20.83,0.4409459528483428,8.316666666666666,1.2150674421154102,0.02,0.13999999999999987,20.86,0.3920884254008681,8.99,1.3328790892900468,0.013333333333333334,0.11469767022723465
30,28.676666666666666,1.3362093980943088,1.0,0.0,0.16333333333333333,0.3696695220809463,29.77,1.1092489951914908,2.8666666666666667,0.33993463423951875,0.09,0.28618176042508353,30.17,0.9386692708297196,4.61,0.5334479043605549,0.05,0.21794494717703333,30.36,0.7939773296511691,6.423333333333333,0.8430829667884927,0.02333333333333333,0.1509598916563234,30.57666666666667,0.6957889207383398,7.856666666666666,0.9812180638822792,0.02,0.13999999999999987,30.62,0.6847870715290522,9.27,1.1987910576910397,0.02333333333333333,0.1509598916563234,30.68666666666667,0.5789262090763866,10.31,1.3368744643134336,0.013333333333333334,0.11469767022723495
40,37.043333333333344,1.7033659488071122,1.0,0.0,0.16333333333333333,0.3696695220809463,38.736666666666665,1.472182808696739,2.94,0.2374868417407585,0.08666666666666667,0.2813459712801222,39.57,1.1797316078950637,4.75,0.44814432199162507,0.07666666666666666,0.2660618140374314,39.873333333333335,1.0601677016187379,6.69,0.7619492546532658,0.043333333333333335,0.20360637405433976,40.26,0.9196376097862335,8.27,0.9149316914393124,0.02,0.13999999999999985,40.26,0.958679647570903,9.89,1.112609545168474,0.02333333333333333,0.1509598916563234,40.39666666666667,0.8441892889367595,11.093333333333335,1.3183154233928789,0.02,0.13999999999999987
50,44.82666666666667,2.1173778332855213,1.0,0.0,0.25,0.4330127018922193,47.50333333333333,1.8101534618798385,2.966666666666667,0.17950549357115053,0.13,0.3363034344160045,48.74,1.4918891826584624,4.85,0.35707142142714315,0.06333333333333334,0.2435615368284213,49.3,1.405939780597542,6.886666666666668,0.7121485487983219,0.05333333333333334,0.2246973272847036,49.73,1.2690284998113055,8.58,0.9184770002564026,0.07,0.2551470164434605,49.85666666666667,1.1118103355438933,10.373333333333333,1.0617386160863185,0.03666666666666667,0.18794207145347291,50.03,1.0339729203417278,11.693333333333333,1.272512824646136,0.02666666666666667,0.16110727964792795
60,52.44333333333334,2.4235213132043136,1.0,0.0,0.2433333333333333,0.42909465415246334,55.88,2.28595712995673,2.9766666666666666,0.1509598916563234,0.18,0.3841874542459715,57.61666666666667,1.7444355979959705,4.906666666666666,0.2908989897236193,0.1,0.3000000000000007,58.5,1.6703293088490063,7.053333333333334,0.6711846905948393,0.07333333333333332,0.26068286394689505,59.13666666666666,1.5224942984749998,8.81,0.887261705097958,0.043333333333333335,0.2036063740543399,59.32333333333333,1.3633740825205984,10.626666666666667,0.9732876701617514,0.04666666666666667,0.2109238935940851,59.55666666666666,1.2936211020061306,12.103333333333332,1.2299006283255396,0.03333333333333333,0.17950549357115053
70,59.68333333333333,2.702416613987481,1.0,0.0,0.28,0.4489988864128733,63.91333333333333,2.567584251565833,2.9766666666666666,0.1509598916563234,0.20666666666666667,0.4049142570416048,66.30666666666667,2.16624611303107,4.923333333333333,0.26606181403743084,0.09,0.2861817604250831,67.48333333333333,1.9450078548827368,7.1866666666666665,0.6671997868371633,0.09666666666666666,0.29550333707459586,68.44,1.8311380796287973,9.0,0.8205689083394114,0.06666666666666668,0.24944382578493016,68.57333333333334,1.7410597028502153,10.88,0.94812094868394,0.04,0.1959591794226539,68.96,1.5138471961639115,12.413333333333336,1.1926813861584706,0.03,0.17058722109231955
80,66.49333333333334,2.825471445420909,1.0,0.0,0.3533333333333333,0.4780051138731554,71.73333333333333,2.8882905363245963,2.9833333333333334,0.12801909579781032,0.21,0.407308237088326,74.73666666666666,2.6026887806437555,4.943333333333333,0.2312045751181317,0.12666666666666668,0.33259919155377066,76.34666666666666,2.2803118695086946,7.253333333333333,0.665198383107542,0.09333333333333334,0.2908989897236192,77.45666666666666,2.1074761103166852,9.09,0.8094648437908449,0.06666666666666668,0.24944382578493,77.76,2.0499756096110007,11.043333333333333,0.9100122099302946,0.03,0.17058722109231944,78.32333333333334,1.8052115911684383,12.666666666666664,1.181336343111289,0.04666666666666667,0.2109238935940851
90,72.91666666666667,3.1363017853658315,1.0,0.0,0.31,0.4624932431938874,79.29,3.1452450884893937,2.986666666666667,0.11469767022723465,0.20666666666666667,0.4049142570416048,82.94333333333333,2.9303223182593525,4.953333333333333,0.2109238935940851,0.16333333333333333,0.3696695220809463,85.06666666666666,2.64743062022197,7.316666666666666,0.6400954789890514,0.11333333333333333,0.31699982474583244,86.35333333333334,2.400379599609656,9.17,0.7709950280859987,0.07666666666666666,0.2660618140374308,86.87333333333332,2.2384419184384017,11.176666666666666,0.8710848918956673,0.06333333333333334,0.2435615368284215,87.48666666666666,2.205256346902903,12.936666666666667,1.0859660317994364,0.07,0.2551470164434605
100,79.05333333333333,3.27675991728957,1.0,0.0,0.4033333333333333,0.4905665658761873,86.53,3.469260247756958,2.99,0.0994987437106624,0.2533333333333333,0.4349201714746699,90.87333333333332,3.2389230034414505,4.963333333333333,0.1879420714534732,0.19333333333333333,0.3949120858565303,93.61333333333332,2.8977845944023466,7.353333333333333,0.6286139956726663,0.10666666666666667,0.3086889840744058,94.98333333333332,2.592885565457056,9.236666666666666,0.7169301841106186,0.09,0.2861817604250835,95.85,2.578274616870749,11.29,0.8597867952773729,0.05666666666666665,0.23120457511813164,96.49333333333334,2.4474385703333974,13.11,1.069844225421003,0.07666666666666666,0.26606181403743123
