,eta=1,eta=1,eta=1,eta=1,eta=1,eta=1,eta=2,eta=2,eta=2,eta=2,eta=2,eta=2,eta=3,eta=3,eta=3,eta=3,eta=3,eta=3
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,10.933333333333335,0.26246692913372804,3.82,0.7217571151941161,0.0033333333333333327,0.057638721552635185,10.906666666666665,0.30214051182999113,3.8766666666666665,0.7448415193105782,0.006666666666666667,0.08137703743822464,10.906666666666665,0.3129785225148136,3.816666666666667,0.754799458281616,0.01,0.099498743710662
20,20.646666666666672,0.6596632137352799,4.346666666666667,0.6053832578531458,0.043333333333333335,0.20360637405433968,20.64333333333333,0.5317789850011827,4.346666666666667,0.6270211763214666,0.02,0.13999999999999985,20.71333333333333,0.5518051185780074,4.323333333333333,0.6471390027566631,0.016666666666666666,0.12801909579781032
30,30.29666666666667,0.9462146808321164,4.56,0.5535341001239228,0.06,0.23748684174075824,30.263333333333332,0.8086957950236235,4.566666666666666,0.5527707983925665,0.03,0.17058722109231927,30.31333333333333,0.7927729112986199,4.573333333333333,0.5458530530788982,0.04666666666666667,0.2109238935940851
40,39.56666666666667,1.2723556455994876,4.68,0.487442304278159,0.06666666666666668,0.2494438257849303,39.68,1.0508409330943784,4.706666666666667,0.4767482447674973,0.06,0.2374868417407585,39.75,1.0712142642814275,4.723333333333334,0.4620125058432458,0.05666666666666665,0.2312045751181316
50,48.63,1.6206274505059246,4.756666666666667,0.4290946541524636,0.07333333333333332,0.26068286394689505,48.90666666666666,1.4016498215396789,4.786666666666667,0.4177186719418813,0.09,0.2861817604250833,49.10333333333333,1.35621614141044,4.796666666666667,0.4024784328245276,0.07666666666666666,0.2660618140374316
60,57.59333333333333,1.9238734077087511,4.816666666666666,0.386939558874797,0.1,0.3000000000000011,58.12333333333334,1.6456373301010785,4.86,0.3564641169411958,0.10333333333333332,0.3043937508483969,58.13666666666666,1.588916472177046,4.88,0.3249615361854373,0.12333333333333335,0.32881943711134537
70,66.28,2.3083038505939104,4.846666666666667,0.36030850978324536,0.09333333333333334,0.2908989897236192,67.06666666666666,1.9327585352432268,4.89,0.3128897569432404,0.09333333333333334,0.2908989897236193,67.14,1.8422088191443824,4.926666666666667,0.260682863946895,0.10666666666666667,0.3086889840744059
80,74.76666666666667,2.5190386173212134,4.8966666666666665,0.30439375084839737,0.14333333333333334,0.35041245538492016,75.95333333333333,2.2710839311267716,4.923333333333333,0.2660618140374314,0.12,0.3249615361854373,75.88333333333334,2.012392164122643,4.946666666666666,0.22469732728470374,0.14333333333333334,0.35041245538492033
90,83.03666666666666,2.9340510485599216,4.916666666666667,0.2763853991962824,0.16,0.36660605559646703,84.53666666666666,2.4294009321001115,4.943333333333333,0.2312045751181315,0.12333333333333335,0.328819437111345,84.56333333333333,2.3236441685899805,4.953333333333333,0.2109238935940851,0.12333333333333335,0.3288194371113449
100,91.13333333333334,3.0987452657845584,4.93,0.2551470164434603,0.14333333333333334,0.35041245538492016,93.06,2.668907391924014,4.956666666666667,0.2036063740543396,0.16333333333333333,0.3696695220809463,93.12,2.5190474390134097,4.96,0.19595917942265392,0.14333333333333334,0.3504124553849204
110,98.96,3.4036842783470203,4.94,0.23748684174075904,0.17333333333333334,0.3785351884420906,101.55666666666669,2.9586239293893946,4.96,0.19595917942265395,0.16,0.3666060555964672,101.54333333333334,2.8073930176509916,4.966666666666667,0.1795054935711505,0.16,0.3666060555964668
120,106.52666666666669,3.7588946365772062,4.953333333333333,0.2109238935940851,0.19,0.39230090491866026,109.72,3.144561442660436,4.97,0.17058722109231952,0.18666666666666668,0.3896437118987325,109.74333333333334,2.8208962326813016,4.97,0.1705872210923194,0.17,0.375632799419859
130,113.73666666666666,4.0735720061008935,4.96,0.1959591794226539,0.16333333333333333,0.3696695220809463,117.66333333333333,3.4287979753195645,4.976666666666667,0.1509598916563234,0.18333333333333326,0.3869395588747969,117.81,2.9440165307506896,4.973333333333334,0.16110727964792787,0.2,0.39999999999999936
140,120.85666666666668,4.233531491425201,4.97,0.17058722109231947,0.22,0.4142463035441605,125.55,3.6093628246547884,4.986666666666666,0.11469767022723495,0.23,0.42083250825001695,125.62333333333332,3.1200623213148946,4.976666666666667,0.1509598916563234,0.2,0.39999999999999936
