,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,0.4633333333333333,0.49865374314804567,0.07166666666666667,0.2579351770417436,0.11833333333333333,0.3230024079717588,0.13,0.33630343441600546,0.21666666666666667,0.411973569810277,1.0,0.0,1.0,0.0,0.0,0.0
10,4.505,1.687199355934754,0.865,0.9256214128897369,1.3183333333333334,1.0264813144372777,1.695,1.1613103231551292,2.5533333333333332,1.4132075415718506,10.936666666666667,0.25031091777139086,4.17,0.7241776945842301,0.013333333333333334,0.11469767022723536
20,8.545,2.2408276000918352,1.5966666666666667,1.2425734943611553,2.558333333333333,1.4628501480177538,3.2516666666666665,1.619155301040907,4.753333333333333,1.9670169179637342,20.705,0.5549549531268296,4.718333333333334,0.4922708152587878,0.028333333333333332,0.16592334240713585
30,12.598333333333333,2.8572126082755767,2.3216666666666668,1.5291164841902094,3.7483333333333335,1.865028298861853,4.71,1.9721139250391542,6.968333333333334,2.4496252547867132,30.346666666666668,0.8849607649808844,4.886666666666667,0.31699982474583444,0.02666666666666667,0.1611072796479266
40,16.676666666666666,3.338980216905887,2.9833333333333334,1.7261871921151002,4.871666666666667,2.1107338113135463,6.148333333333333,2.3035473851335353,9.096666666666666,2.788187384106185,39.776666666666664,1.2193395297819574,4.958333333333333,0.19982631347136257,0.043333333333333335,0.2036063740543403
50,20.69,3.7626099098010855,3.6933333333333334,1.946609588204296,5.908333333333333,2.348743754057096,7.558333333333334,2.6495151548076747,11.241666666666667,3.1575196841121307,49.09166666666667,1.4696702200002418,4.975,0.1561249499599592,0.07833333333333334,0.2686954078919516
60,24.67,4.156252318295088,4.315,2.1367674183214223,6.915,2.5313583310151917,8.983333333333333,2.8354403929940406,13.321666666666667,3.531033449603988,58.205,1.6831443788338565,4.9816666666666665,0.13415372608400497,0.08166666666666667,0.2738562072004641
70,28.58,4.479241007135025,4.915,2.3125256755331383,7.941666666666666,2.687302964353337,10.326666666666666,3.1405873477566115,15.296666666666667,3.862899026494075,67.06,2.0313542280951324,4.986666666666666,0.11469767022723554,0.09,0.28618176042508253
80,32.43666666666667,4.7936752312001945,5.566666666666666,2.4743124746527476,8.865,2.9057600841546876,11.551666666666666,3.346241257822804,17.28,4.092464620087352,75.7,2.401388487243713,4.991666666666666,0.09090593428863072,0.11333333333333333,0.3169998247458346
90,36.208333333333336,5.022774521008178,6.121666666666667,2.6621164303780667,9.78,3.041644292155146,12.791666666666666,3.578863491234174,19.236666666666668,4.358209367261857,84.13833333333334,2.760893072097419,4.995,0.07053367989832947,0.14166666666666666,0.3487079325484623
100,39.848333333333336,5.357424495242304,6.6866666666666665,2.786004706066056,10.59,3.249907690996777,14.011666666666667,3.8779114510548363,21.048333333333332,4.682520392077564,92.185,3.2706943707211047,4.996666666666667,0.057638721552635164,0.12166666666666667,0.32690042656578183
110,43.56333333333333,5.573986205779687,7.195,2.955273534999199,11.43,3.440218016347222,15.15,4.090741579061999,22.895,4.9251708938201695,100.23333333333333,3.6344035121170686,5.0,0.0,0.13833333333333334,0.3452495072005487
120,47.295,5.854739533062086,7.626666666666667,3.0073170028375023,12.21,3.5528251669152944,16.178333333333335,4.3007592998859545,24.578333333333333,5.148514079054482,107.88833333333334,4.065201580351073,5.0,0.0,0.15,0.3570714214271413
130,51.03,6.180272378032104,8.05,3.101209441492138,12.998333333333333,3.692108325725131,17.175,4.475605173232631,26.22,5.364227188825367,115.47333333333333,4.379416500960941,4.998333333333333,0.04079079416840149,0.17666666666666667,0.38138635994953307
140,54.51833333333333,6.422071100682572,8.461666666666666,3.195079115695814,13.758333333333333,3.775790939951818,18.125,4.6057256033477865,27.893333333333334,5.603744779659003,122.75666666666666,4.704691511908327,4.998333333333333,0.04079079416840149,0.185,0.38829756630708023
150,58.015,6.696873026520162,8.831666666666667,3.2670063598890566,14.48,3.922533195100675,19.106666666666666,4.800898064135733,29.465,5.835989633301274,129.89833333333334,5.006462212869373,4.998333333333333,0.04079079416840149,0.19333333333333333,0.39491208585653
160,61.41166666666667,6.922586021294516,9.186666666666667,3.3304387432021967,15.08,4.01873943751852,20.033333333333335,4.9543471371670735,31.063333333333333,6.009103279377233,136.775,5.11511241323199,4.998333333333333,0.04079079416840149,0.20166666666666666,0.40124459151772196
170,64.67166666666667,7.054114441625936,9.52,3.382740506354781,15.7,4.201587001756995,20.84,5.078162397298194,32.541666666666664,6.12385476821766,143.27333333333334,5.3312245831099165,5.0,0.0,0.26,0.4386342439892259
180,68.04166666666667,7.273004690100377,9.826666666666666,3.4380162238645022,16.26,4.321157252403577,21.645,5.213026152501699,33.965,6.354560698165269,149.73833333333334,5.577920510568635,5.0,0.0,0.22833333333333333,0.4197585284687164
190,71.40333333333334,7.425226521048965,10.118333333333334,3.5309579279409427,16.748333333333335,4.388431445921839,22.39666666666667,5.3546853834334245,35.20666666666666,6.405514984934635,155.87333333333333,5.9532026861364455,5.0,0.0,0.24833333333333332,0.43204616522877554
